userID,firstName,lastName,email,phone,address,city,state,country,postcode,username,password,role,createdAt,businessID,departmentName
1,Audrey,Garcia,chavezalyssa@guerrero-benson.com,748.840.5801x1669,"6407 Jennifer Lane Suite 133, Barkerborough, OK 20236",Mosleyhaven,Pennsylvania,Algeria,36203,brookstyler,_3Y4@ycC7P,Admin,2021-04-04T13:47:13,37,Sales
2,Cameron,Rivera,christianday@murphy.com,434-037-5864x095,"107 Duran Springs, Michaeltown, DE 36589",Aliciaside,Hawaii,Reunion,61068,gregory17,)g4CK(djeq,User,2024-02-18T09:44:10,72,Engineering
3,Melissa,Shaw,jamesmoore@howell-sandoval.net,001-582-863-8570,"51289 Fernandez Locks, East Rachelville, NM 82111",South Feliciafort,Montana,Albania,82440,anna40,cn2pFv*s#8,Admin,2023-10-15T01:30:08,31,Sales
4,Erin,Walker,coreystrickland@hotmail.com,(548)707-5910x37269,"24617 Andrew Squares, Kimberlytown, IL 87883",Wilsonbury,Montana,Spain,15126,jimsalas,Y09RJ1k2)L,User,2022-02-09T01:31:50,85,Marketing
5,Johnathan,Ortiz,edwardssusan@cervantes-williams.info,646-397-7067x17357,"365 Edward Mews Apt. 941, Knightmouth, SD 37440",Sloanshire,Florida,Panama,03485,cuevasdaniel,1D6N3kWh!H,Admin,2023-02-07T12:29:55,147,Engineering
6,Jennifer,Anderson,cwolf@nguyen.com,(807)170-5424x952,"679 Woodward Stream Apt. 774, Stephenfort, DE 92668",Kristinville,Illinois,Kazakhstan,83488,johnwilliamson,cJQhd65$^9,User,2023-07-15T12:16:56,21,Engineering
7,Seth,Goodman,youngmichael@yahoo.com,+1-942-988-7929x915,"738 Jeffery Street Apt. 791, West Deborahtown, SD 96573",Lake Jasonside,West Virginia,Ukraine,70591,cuevaspatricia,85IAraPd!f,User,2021-03-26T16:25:23,175,Engineering
8,Erin,Yang,xjones@stanley.net,946-844-2642,"8662 Kristin Harbor Apt. 813, Lauraview, IA 11232",Mooreborough,Florida,Hong Kong,30432,xlong,@r$N$Jdb4+,Admin,2022-11-28T05:19:25,110,Engineering
9,Julie,Williams,sgreen@obrien.com,001.647.9412x0285,"81401 Brenda Pines Suite 432, East Michaelmouth, TX 06232",Lake Mark,Arkansas,Turks and Caicos Islands,15554,williamsmith,_Xy$1FQh7k,User,2020-03-26T01:26:22,167,Sales
10,Steve,Davis,shannondanny@richardson.net,+1-587-586-2943,"04091 Scott Meadow Suite 456, West Michaelburgh, WI 55078",Dawsonview,Montana,Ecuador,27214,kbell,(qJvB@GLN1,User,2024-07-06T14:22:45,30,Marketing
11,Rita,Thomas,campbellashley@scott.info,250.354.4753,"276 Misty Ford Apt. 001, New Stephen, VA 77130",Lake John,Maine,Guadeloupe,52544,huntthomas,n2F7*tbt$3,Admin,2023-05-13T20:17:02,27,Engineering
12,Carrie,Fuller,katherine47@yahoo.com,(539)821-7082,"53378 Combs Pass Suite 694, Timothyberg, NJ 68763",New Kelly,Missouri,French Polynesia,53474,rebecca89,uw%0ZRENT),Admin,2022-05-02T09:11:39,17,Engineering
13,James,Russell,stuarttravis@gmail.com,(196)867-3594x2491,"79410 Christopher Roads Suite 335, South Angel, NY 80693",Jeffreyborough,Hawaii,Belize,56516,daniel54,ikB^tLVE(2,Admin,2021-06-05T20:27:51,191,Marketing
14,Richard,Brown,juliesmith@johnson-mccormick.com,392-693-2857,"Unit 4545 Box 8887, DPO AP 36219",Justinside,Louisiana,Tanzania,42353,mgarcia,zlBzOVIO@3,User,2022-05-18T08:20:23,170,Marketing
15,Yvonne,Robinson,amber62@macias.com,675.928.0585x167,"7491 David Fork Suite 829, North Laurashire, RI 09064",Toddmouth,New Jersey,Bhutan,18543,michael95,3rZRBTwy%n,User,2021-12-17T02:56:36,52,Sales
16,Samantha,Scott,porterrussell@hotmail.com,(785)142-3786,"6769 Thomas Spur Suite 708, Port Kevinville, KY 88965",Joneschester,Ohio,Cyprus,38327,billylopez,SW)!8DvklV,Admin,2020-10-31T01:24:38,122,Engineering
17,Matthew,Jackson,dylan66@johnson.com,4032235157,"09378 Jasmine Terrace, Port Jeremiahberg, ND 98608",Jacobberg,Indiana,Macedonia,81957,baileyclark,(d&eYvW#S8,Admin,2020-02-22T03:15:06,165,Marketing
18,Margaret,Thomas,tanner54@yahoo.com,706.980.4795x05105,"310 Butler Passage Suite 902, Ellisfort, SD 73444",Port Alexandria,Indiana,Grenada,37627,bcrawford,!he1NQMrV*,User,2020-02-25T18:05:30,75,Engineering
19,Michael,Harris,frodriguez@roth.com,294-112-3015,"8976 Richardson Square Apt. 287, Bennettmouth, VA 69288",North Jacob,Connecticut,Germany,41503,mbriggs,$zN3uX2e0k,Admin,2024-07-17T09:54:58,51,Engineering
20,Robert,Ortega,knightcharlene@fuller-brown.com,001-809-228-1963x4244,"1019 Larsen Shore Apt. 007, Jakeshire, TX 56679",Lake Alan,Hawaii,Italy,90934,michael26,*GwF7EIff+,Admin,2020-03-10T11:21:34,67,Sales
21,Christine,Maxwell,huntercynthia@hotmail.com,843-181-0008x24079,"159 Martinez Estates, East Lisa, LA 52467",New Jessicamouth,Utah,Guinea,04867,hudsonfrank,#CECGLjmU9,Admin,2021-08-19T08:07:18,44,HR
