userID,firstName,lastName,email,phone,address,city,state,country,postcode,username,password,role,createdAt,businessID,departmentName
1,Jay,Smith,ruben13@gmail.com,692.078.9291x378,"13293 Steven Shores Apt. 534, South Erikmouth, MA 70898",Watsontown,South Dakota,Sri Lanka,39290,zmiller,Z%4p_4Qr4J,User,2021-03-30T12:49:04,8,Engineering
2,Robert,Compton,jamesalexander@jackson.com,+1-216-773-2653x18636,"3376 John Inlet, Beanmouth, WI 15453",East Michaelfort,New Mexico,Guam,21418,shelialopez,+RIEBYxe4R,User,2021-12-20T17:43:17,16,HR
3,Courtney,Holmes,bradyronald@yahoo.com,+1-305-200-9666x0209,"626 Perry Plain, Williamsville, SC 51004",Vincenthaven,Indiana,Luxembourg,23786,sherrywright,D88mAmAF^R,Admin,2022-09-28T05:47:46,10,Marketing
4,Debra,George,jeffreyevans@gmail.com,9108144072,"PSC 0513, Box 8405, APO AE 79490",Nicholasfurt,Iowa,Djibouti,01104,srussell,igi)$9Ldn*,User,2020-12-18T19:16:23,13,Finance
5,Brittany,Vazquez,joseph13@hotmail.com,020-914-6709,"2826 Donald Lake, Lake Jessicaburgh, MS 25799",West Daniel,Minnesota,Bangladesh,17356,lawrencesusan,(1zGosjX@Y,User,2023-01-09T04:06:42,11,HR
6,Amanda,Villanueva,omoore@ellison.com,(907)034-0011,"88107 Howard Neck, Odomstad, ND 51786",New Ryanberg,Hawaii,Sao Tome and Principe,90692,janicebrown,)V8K$!Ml8o,User,2023-05-17T08:01:18,18,HR
7,Jose,Carlson,xkennedy@hotmail.com,(048)581-5577x860,"520 Katrina Walks, North Patricia, MN 16259",Sanchezstad,South Dakota,Guatemala,58641,montgomerynathaniel,V2JUFl6$@T,Admin,2024-04-18T01:35:07,2,Finance
8,Felicia,Brown,gyang@wood-mcintosh.com,001-666-799-5159,"Unit 5867 Box 3269, DPO AE 34004",North Anne,California,Liechtenstein,01473,garrettlynn,E*h!9Idr#&,User,2023-09-13T19:51:58,14,Sales
9,Sarah,Johnson,fcampos@williams.com,766.716.6724x5655,"049 Ryan Via Apt. 415, West Jason, MO 44795",Lake Angela,Texas,Guernsey,11087,aprice,6y8VpX9j_I,Admin,2021-10-26T11:56:46,17,HR
10,Kevin,Perkins,johngardner@hotmail.com,953.823.1626,"12157 Luis Mill, Port Brad, IN 69744",Vaughnfurt,North Dakota,Cayman Islands,03718,ericwalker,F)1JSbks$9,User,2021-05-13T18:56:23,5,Marketing
11,David,Douglas,michealwood@hotmail.com,679-462-2140x7087,"36241 Catherine Lights, Jaredchester, AZ 52561",Deborahhaven,South Carolina,Colombia,12771,wallacejanet,(cy3!KDoN!,Admin,2024-07-11T12:13:08,3,Sales
